FHLBank,FIPSStateCode,FIPSCountyCode,Income,Purpose,Term,First,BoAge,Occup,Rate,Amount,BoCreditScore,PropType
Atlanta,24,3,129360,2,360,2,45,1,0.0325,384000,4,PT07
Atlanta,42,95,53856,2,360,2,24,1,0.035,113000,4,PT01
Atlanta,47,35,39264,1,360,1,70,1,0.0338,125750,4,PT01
Atlanta,48,29,86712,1,360,1,26,1,0.0338,162400,4,PT01
Atlanta,37,67,125688,1,360,2,58,1,0.035,400000,4,PT07
Atlanta,12,57,71916,1,360,2,39,1,0.0363,405000,5,PT01
Atlanta,48,439,108720,2,360,2,48,1,0.035,164900,5,PT07
Atlanta,13,153,124332,2,360,2,51,1,0.0338,270000,5,PT07
Atlanta,9,11,182004,2,360,2,46,1,0.035,312000,3,PT01
Atlanta,24,47,146724,2,360,2,47,1,0.0338,324900,5,PT07
Atlanta,13,121,235680,1,360,2,44,1,0.0325,404000,4,PT11
Atlanta,12,113,66408,1,360,1,32,1,0.0338,193050,5,PT01
Atlanta,12,57,94512,1,360,1,70,1,0.0363,240000,5,PT07
Atlanta,37,119,150540,2,360,2,49,1,0.035,205100,4,PT01
Atlanta,41,5,106452,1,360,1,47,1,0.035,388150,3,PT07
Atlanta,35,43,108504,1,360,2,49,1,0.035,340850,4,PT07
Atlanta,51,680,101700,1,180,2,46,1,0.0275,187900,5,PT07
Atlanta,42,71,127584,2,180,2,30,1,0.0288,160000,5,PT01
Atlanta,51,137,117984,2,180,2,70,1,0.0275,175000,5,PT07
Atlanta,26,147,94116,1,180,2,49,1,0.0275,200000,5,PT11
Atlanta,20,173,108312,2,180,2,50,1,0.0275,122000,4,PT01
Atlanta,8,5,92064,2,180,2,69,1,0.0288,187000,5,PT11
Atlanta,48,113,162996,2,180,2,41,1,0.0275,152500,4,PT01
Atlanta,20,161,128496,2,180,2,50,1,0.03,200000,4,PT01
Atlanta,35,27,32844,1,180,1,43,1,0.0275,55000,4,PT01
Atlanta,24,27,214428,2,180,2,44,1,0.0275,398000,5,PT01
Atlanta,6,101,123072,2,180,2,42,1,0.0288,131300,3,PT01
Atlanta,8,41,142332,2,180,2,44,1,0.0275,82000,5,PT01
Atlanta,8,59,108684,1,360,2,66,1,0.0338,365000,5,PT07
Atlanta,32,3,102336,2,180,2,42,1,0.0275,171450,5,PT07
Atlanta,37,155,178584,2,180,2,64,1,0.0288,198000,3,PT01
Atlanta,48,61,130428,2,180,2,38,1,0.0275,155255,4,PT01
Atlanta,11,1,61080,2,360,2,44,1,0.0388,215500,2,PT01
Atlanta,51,67,127032,2,360,2,68,1,0.0375,250000,5,PT07
Atlanta,8,41,156180,1,360,2,50,1,0.0375,415000,3,PT07
Atlanta,25,13,142788,1,360,2,31,1,0.0375,324000,5,PT01
Atlanta,24,3,62484,1,360,1,24,1,0.0375,288982,4,PT01
Atlanta,25,5,87900,1,360,2,62,1,0.0375,299400,5,PT01
Atlanta,4,13,136620,2,360,2,47,1,0.0375,417000,4,PT07
Atlanta,47,125,146676,1,360,2,73,1,0.04,417000,5,PT07
Atlanta,37,129,137004,1,360,2,32,1,0.0375,269793,5,PT07
Atlanta,48,13,148464,2,360,2,48,1,0.035,189150,5,PT01
Atlanta,51,15,155004,2,360,2,57,1,0.0338,239950,5,PT01
Atlanta,48,85,202992,1,360,2,55,1,0.0338,237590,3,PT01
Atlanta,24,5,189804,2,360,2,52,1,0.0338,316400,4,PT01
Atlanta,4,13,122436,2,360,2,64,1,0.035,391250,4,PT07
Atlanta,51,59,143520,2,360,2,54,1,0.0325,411000,5,PT07
Atlanta,49,51,110268,1,360,2,59,1,0.0325,415125,5,PT07
Atlanta,24,13,109800,1,360,2,41,1,0.0338,273350,5,PT01
Atlanta,12,71,97596,1,360,2,54,1,0.035,255550,5,PT07
Atlanta,29,101,131712,1,360,2,33,1,0.0325,194085,4,PT01
Atlanta,37,85,127944,1,360,2,68,1,0.0363,266500,5,PT07
Atlanta,53,67,55860,1,360,2,30,1,0.0338,214450,5,PT07
Atlanta,24,21,92232,1,360,2,61,1,0.0325,380000,5,PT01
Atlanta,42,3,106692,1,360,2,38,1,0.0338,216000,5,PT01
Atlanta,12,19,160308,1,360,2,47,1,0.0363,194200,5,PT07
Atlanta,49,35,77856,1,360,2,72,1,0.0363,279000,4,PT01
Atlanta,4,19,100152,2,360,2,48,1,0.0325,328635,5,PT07
Atlanta,24,17,131256,2,360,2,40,1,0.0363,288500,5,PT07
Atlanta,34,29,149136,1,360,2,42,1,0.0338,380625,5,PT01
Atlanta,51,95,174636,2,360,2,58,1,0.0325,264200,5,PT07
Atlanta,51,179,115032,2,360,2,41,1,0.0338,221500,5,PT07
Atlanta,48,29,175692,2,360,2,61,1,0.0363,282650,2,PT07
Atlanta,51,95,158292,1,360,2,50,1,0.0338,382000,3,PT07
Atlanta,4,25,100440,1,360,2,57,1,0.035,238000,5,PT07
Atlanta,34,5,214908,2,360,2,58,1,0.0338,212000,3,PT01
Atlanta,37,183,155292,1,360,2,49,1,0.0338,210000,4,PT07
Atlanta,37,29,60168,1,360,1,33,1,0.035,194050,5,PT07
Atlanta,4,19,392208,2,360,2,51,1,0.0325,300000,5,PT07
Atlanta,25,27,137064,1,360,2,53,1,0.035,400000,5,PT01
Atlanta,30,63,68436,2,360,2,63,1,0.0325,228000,5,PT01
Atlanta,24,510,82236,1,360,2,35,1,0.0338,199350,4,PT01
Atlanta,25,13,76260,2,360,2,37,1,0.035,188400,5,PT01
Atlanta,45,13,127380,1,360,2,57,1,0.035,200000,5,PT07
Atlanta,31,55,96588,1,360,1,35,1,0.035,189950,4,PT01
Atlanta,29,183,73020,1,360,1,31,1,0.0325,199192,5,PT07
Atlanta,47,93,102072,1,360,1,42,1,0.035,417000,5,PT07
Atlanta,51,153,92244,2,360,2,44,1,0.035,340375,5,PT01
Atlanta,37,21,80412,1,360,2,61,1,0.035,190000,4,PT07
Atlanta,22,103,69252,1,360,1,25,1,0.035,224700,5,PT01
Atlanta,39,55,59256,2,360,2,35,1,0.0325,311600,5,PT01
Atlanta,12,95,213816,2,360,2,55,1,0.0338,193000,5,PT07
Atlanta,48,469,94740,1,360,1,63,1,0.0338,212600,4,PT01
Atlanta,24,17,99948,1,360,2,60,1,0.035,275000,5,PT01
Atlanta,48,481,71292,1,360,2,41,1,0.0338,247900,4,PT01
Atlanta,51,153,86268,2,360,2,50,1,0.0325,203000,5,PT07
Atlanta,51,153,210072,2,180,2,63,1,0.0275,354000,5,PT07
Atlanta,24,33,124512,2,180,2,49,1,0.0288,206000,5,PT07
Atlanta,12,81,285696,1,180,2,53,1,0.0288,416000,5,PT07
Atlanta,27,53,70164,2,180,2,35,1,0.0275,186000,4,PT01
Atlanta,12,81,234396,1,180,2,51,1,0.0275,417000,5,PT01
Atlanta,17,43,129564,1,180,2,60,1,0.0288,170000,4,PT01
Atlanta,13,121,154524,2,180,2,51,1,0.0275,271000,5,PT07
Atlanta,12,57,139080,2,180,2,36,1,0.0288,209400,5,PT07
Atlanta,24,5,94116,1,180,2,52,1,0.0288,258146,5,PT01
Atlanta,8,5,100176,2,180,2,54,1,0.0288,208700,4,PT01
Atlanta,34,23,116472,2,180,2,49,1,0.0288,211500,4,PT01
Atlanta,12,86,228924,2,180,2,53,1,0.0275,266000,4,PT07
Atlanta,13,121,103908,2,180,2,71,1,0.0275,280600,5,PT07
Atlanta,12,117,174012,2,180,2,51,1,0.0288,327000,5,PT07
Atlanta,51,179,111420,2,180,2,53,1,0.0288,121914,5,PT07
Atlanta,33,15,233664,2,180,2,47,1,0.03,186000,5,PT01
Atlanta,32,31,190296,2,180,2,63,1,0.0288,356000,5,PT07
Atlanta,37,93,85332,2,180,2,56,1,0.0288,146650,5,PT01
Atlanta,17,31,67212,1,180,2,52,1,0.0288,30000,4,PT11
Atlanta,26,99,198708,2,180,2,38,1,0.0275,142000,5,PT01
Atlanta,13,135,73764,2,180,2,54,1,0.0275,102500,4,PT01
Atlanta,4,19,92616,2,180,2,71,1,0.0288,137000,5,PT07
Atlanta,4,27,94632,2,180,2,29,1,0.0288,150750,5,PT01
Atlanta,13,291,164136,2,180,2,52,1,0.0288,252000,5,PT01
Atlanta,51,179,157008,2,180,2,41,1,0.03,239150,5,PT01
Atlanta,48,355,80460,2,180,2,50,1,0.0275,140000,5,PT07
Atlanta,42,3,109500,2,180,2,42,1,0.0275,171000,4,PT01
Atlanta,51,59,128400,2,180,2,76,1,0.0275,135000,5,PT07
Atlanta,17,73,89892,2,180,2,71,1,0.0288,145500,5,PT01
Atlanta,12,1,93516,2,180,2,75,1,0.0275,191000,4,PT01
Atlanta,12,131,90408,2,180,2,74,1,0.0275,59594,4,PT01
Atlanta,13,135,57420,2,180,2,63,1,0.0288,96000,5,PT01
Atlanta,6,37,90240,1,360,1,35,1,0.035,296235,3,PT11
