Index,FHLBankPopulation,StateAvgIncome,Income,Purpose,Term,First,BoAge,Rate,BoCreditScore,Amount,Amount_Prediction
0,298800,45215,184464,2,360,2,41,0.035,4,208500,185538.2045
1,298800,51075,134038,1,360,2,32,0.035,5,182400,215664.7354
2,298800,51075,36288,1,360,2,36,0.0388,5,103200,188087.0495
3,864771,51084,242241,1,360,2,43,0.0375,4,136000,223105.4369
4,864771,50532,142445,1,360,2,99,0.0338,5,173600,191225.5879
5,298800,50532,238430,1,360,2,34,0.0363,5,300000,236798.9205
6,126808,54996,50071,2,360,2,44,0.035,5,146686,230928.8893
7,864771,51084,34968,1,360,2,65,0.035,4,130000,164262.8039
8,215472,54736,24852,2,180,2,45,0.0313,5,61100,151787.3449
9,2705000,59588,45756,1,360,1,32,0.0375,2,93279,163534.6428
10,298800,51244,339998,2,360,2,34,0.0363,4,304700,266169.6401
11,126808,53906,135676,1,180,2,61,0.0288,4,80000,137505.5092
12,864771,50532,52679,2,180,2,99,0.0238,5,120000,115947.6022
13,2705000,55638,64002,2,360,2,40,0.035,4,91200,231494.4267
14,2705000,55638,51297,2,180,2,68,0.0313,5,60500,162816.8146
15,864771,50532,148369,2,240,2,39,0.035,5,160000,181535.0876
16,215472,54736,112012,2,360,2,99,0.0338,5,123200,224848.6179
17,864771,50532,171824,2,360,2,32,0.0325,5,296000,239561.2108
18,215472,63488,99880,2,240,2,45,0.0363,5,72800,250251.4591
19,864771,50532,105372,2,180,2,44,0.0275,5,120000,148052.7274
20,303625,55702,55000,1,360,1,24,0.035,4,190800,169451.8324
21,864771,50532,96492,1,360,2,31,0.0388,4,252000,187016.8067
22,298800,50532,105912,2,360,2,32,0.035,5,98000,220390.6968
23,2705000,55638,125148,2,360,2,55,0.0338,5,227000,257658.561
24,864771,52431,58611,2,360,2,68,0.0413,4,196500,190448.3573
25,215472,50238,86417,1,360,2,33,0.0338,5,178000,198182.5057
26,298800,45215,175440,1,180,2,45,0.0275,5,320000,113135.3257
27,2705000,55638,59844,2,360,2,67,0.0375,5,146000,235223.2958
28,215472,54736,84984,2,180,2,39,0.0275,5,127300,170728.8892
29,864771,51084,69996,1,360,2,28,0.0375,5,170910,201745.3529
30,298800,51075,69360,2,360,2,48,0.0338,4,111500,193399.8586
31,864771,72222,144720,2,240,2,48,0.0325,5,272000,321488.882
32,215472,64129,213828,2,360,2,43,0.0388,3,503000,298997.7802
33,298800,45215,112625,1,360,2,33,0.0325,5,223200,172392.6083
34,215472,50238,52575,1,360,1,43,0.0375,3,142500,108315.8402
35,303625,75847,254667,1,360,2,40,0.0375,5,444774,405125.0026
36,864771,64500,109600,2,360,2,41,0.0425,5,556950,308383.5544
37,298800,45215,163632,2,360,2,38,0.0338,4,262000,181998.7516
38,303625,55702,71064,1,360,1,24,0.0375,4,184500,172347.0631
39,298800,50532,34104,2,360,2,77,0.0375,5,116000,184503.6224
40,215472,54736,86985,2,360,2,40,0.0388,5,258948,238483.155
41,303625,55702,91668,2,240,2,38,0.035,5,73400,200278.3643
42,298800,51075,245000,2,360,2,51,0.037,5,286000,250666.9145
43,673184,70628,218058,2,360,2,60,0.0413,3,409900,336760.5406
44,298800,50532,40788,2,360,2,74,0.0338,5,99550,188941.84
45,303625,55702,78000,1,360,2,30,0.0338,4,208000,217518.2051
46,298800,51075,188090,2,360,2,36,0.0363,3,417000,210411.0238
47,864816,64500,224184,2,360,2,32,0.0388,5,618500,341990.0345
48,8538000,60850,233040,2,360,2,32,0.0338,5,600000,344212.5373
49,864771,51084,47496,1,360,2,26,0.0363,4,129200,181420.9021
50,864771,50532,143316,1,360,2,99,0.035,5,197200,190908.8369
51,298800,51075,155040,2,360,2,50,0.035,4,243000,213493.0697
52,298800,45215,165801,1,360,2,35,0.0313,5,201800,185444.4201
53,864771,51084,76912,2,180,2,35,0.03,5,190400,146853.728
54,215472,50238,42147,1,360,1,99,0.0388,3,88000,84155.64475
55,864771,51084,36436,2,360,2,35,0.0375,5,136800,206076.1123
56,2705000,55638,92723,2,240,2,38,0.0338,5,91500,207498.5037
57,8538000,60850,425000,2,180,2,42,0.0325,5,417000,316278.6176
58,126808,54996,64308,2,180,2,38,0.035,3,60000,132081.6337
59,298800,51075,77040,2,360,2,40,0.035,5,226000,213773.2385
60,215472,53017,163020,1,360,2,28,0.04,5,354350,234745.7846
61,126808,63909,46944,1,360,1,28,0.035,2,234671,187605.5265
62,864771,51084,101196,2,360,2,33,0.0388,5,220950,222403.9922
63,864771,50532,163051,1,360,2,60,0.0375,5,369600,209330.9712
64,298800,50532,175764,2,348,2,41,0.0375,5,355100,228489.9645
65,126808,53906,73445,1,240,2,41,0.0375,5,120000,165813.993
66,303625,66262,110198,1,360,2,38,0.0375,5,513900,306582.8407
67,298800,51075,38145,1,360,1,30,0.0338,4,75905,132987.4262
68,864771,50532,82632,2,360,2,34,0.04,5,112000,213221.2852
69,298800,50532,112380,2,360,2,58,0.0363,5,287550,211685.1761
70,215472,50238,47463,2,180,2,55,0.0325,5,61000,123467.7133
71,126808,63909,112372,2,360,2,73,0.0388,5,205200,292729.9611
72,298800,51084,109200,2,360,2,39,0.0388,4,182800,204545.5694
73,298800,51075,113974,1,360,2,31,0.035,5,304000,211033.551
74,298800,50532,186192,2,360,2,38,0.0363,5,347850,237593.5755
75,864771,54996,179832,2,360,2,54,0.035,5,322000,261660.5061
76,215472,63488,339374,1,360,2,51,0.0338,4,261228,325987.0102
77,215472,54736,81000,2,360,2,41,0.04,5,320000,236081.2392
78,2705000,55638,118015,1,360,2,32,0.0375,5,275000,247522.766
79,215472,54736,77259,2,240,2,99,0.0325,5,139950,168317.4014
80,126808,53906,141912,2,360,2,31,0.0363,5,228000,250941.883
81,864771,51084,32544,1,240,2,58,0.0363,5,70000,133257.0076
82,2705000,55638,59656,1,360,1,43,0.0375,3,155700,152811.324
83,864771,59588,120336,2,240,2,44,0.0325,5,239000,233537.2693
84,303625,51075,235584,1,360,2,57,0.0338,5,216000,232181.5209
85,126808,48568,55655,2,180,2,33,0.0288,3,144000,92139.57023
86,864771,55638,56305,2,360,2,99,0.035,5,101000,218218.8236
