FHLBank,FIPSStateCode,Income,Purpose,Term,First,BoAge,Rate,BoCreditScore,Amount
472522,75847,129360,2,360,2,45,0.0325,4,384000
472522,55702,53856,2,360,2,24,0.035,4,113000
472522,47275,39264,1,360,1,70,0.0338,4,125750
472522,55653,86712,1,360,1,26,0.0338,4,162400
472522,47830,125688,1,360,2,58,0.035,4,400000
472522,49426,71916,1,360,2,39,0.0363,5,405000
472522,55653,108720,2,360,2,48,0.035,5,164900
472522,51244,124332,2,360,2,51,0.0338,5,270000
472522,71346,182004,2,360,2,46,0.035,3,312000
472522,75847,146724,2,360,2,47,0.0338,5,324900
472522,51244,235680,1,360,2,44,0.0325,4,404000
472522,49426,66408,1,360,1,32,0.0338,5,193050
472522,49426,94512,1,360,1,70,0.0363,5,240000
472522,47830,150540,2,360,2,49,0.035,4,205100
472522,54148,106452,1,360,1,47,0.035,3,388150
472522,45382,108504,1,360,2,49,0.035,4,340850
472522,66262,101700,1,180,2,46,0.0275,5,187900
472522,55702,127584,2,180,2,30,0.0288,5,160000
472522,66262,117984,2,180,2,70,0.0275,5,175000
472522,51084,94116,1,180,2,49,0.0275,5,200000
472522,53906,108312,2,180,2,50,0.0275,4,122000
472522,63909,92064,2,180,2,69,0.0288,5,187000
472522,55653,162996,2,180,2,41,0.0275,4,152500
472522,53906,128496,2,180,2,50,0.03,4,200000
472522,45382,32844,1,180,1,43,0.0275,4,55000
472522,75847,214428,2,180,2,44,0.0275,5,398000
472522,64500,123072,2,180,2,42,0.0288,3,131300
472522,63909,142332,2,180,2,44,0.0275,5,82000
472522,63909,108684,1,360,2,66,0.0338,5,365000
472522,52431,102336,2,180,2,42,0.0275,5,171450
472522,47830,178584,2,180,2,64,0.0288,3,198000
472522,55653,130428,2,180,2,38,0.0275,4,155255
472522,75628,61080,2,360,2,44,0.0388,2,215500
472522,66262,127032,2,360,2,68,0.0375,5,250000
472522,63909,156180,1,360,2,50,0.0375,3,415000
472522,70628,142788,1,360,2,31,0.0375,5,324000
472522,75847,62484,1,360,1,24,0.0375,4,288982
472522,70628,87900,1,360,2,62,0.0375,5,299400
472522,51492,136620,2,360,2,47,0.0375,4,417000
472522,47275,146676,1,360,2,73,0.04,5,417000
472522,47830,137004,1,360,2,32,0.0375,5,269793
472522,55653,148464,2,360,2,48,0.035,5,189150
472522,66262,155004,2,360,2,57,0.0338,5,239950
472522,55653,202992,1,360,2,55,0.0338,3,237590
472522,75847,189804,2,360,2,52,0.0338,4,316400
472522,51492,122436,2,360,2,64,0.035,4,391250
472522,66262,143520,2,360,2,54,0.0325,5,411000
472522,62912,110268,1,360,2,59,0.0325,5,415125
472522,75847,109800,1,360,2,41,0.0338,5,273350
472522,49426,97596,1,360,2,54,0.035,5,255550
472522,50238,131712,1,360,2,33,0.0325,4,194085
472522,47830,127944,1,360,2,68,0.0363,5,266500
